Sector,Ticker,Year,Month,Monthly_Return_%
Consumer Staples,ITC.NS,2005,7,1.464
Consumer Staples,ITC.NS,2005,8,2.9958
Consumer Staples,ITC.NS,2005,9,17.6599
Consumer Staples,ITC.NS,2005,10,-12.3596
Consumer Staples,ITC.NS,2005,11,11.6517
Consumer Staples,ITC.NS,2005,12,5.7890000000000015
Consumer Staples,ITC.NS,2006,1,8.818200000000001
Consumer Staples,ITC.NS,2006,2,11.212499999999999
Consumer Staples,ITC.NS,2006,3,12.7868
Consumer Staples,ITC.NS,2006,4,3.2343
Consumer Staples,ITC.NS,2006,5,-18.1556
Consumer Staples,ITC.NS,2006,6,11.295
Consumer Staples,ITC.NS,2006,7,-7.983700000000001
Consumer Staples,ITC.NS,2006,8,13.737100000000002
Consumer Staples,ITC.NS,2006,9,-1.7826
Consumer Staples,ITC.NS,2006,10,1.3860999999999999
Consumer Staples,ITC.NS,2006,11,-2.4017
Consumer Staples,ITC.NS,2006,12,-4.701500000000001
Consumer Staples,ITC.NS,2007,1,-0.5262
Consumer Staples,ITC.NS,2007,2,-1.4042
Consumer Staples,ITC.NS,2007,3,-12.0805
Consumer Staples,ITC.NS,2007,4,6.1617999999999995
Consumer Staples,ITC.NS,2007,5,2.4461
Consumer Staples,ITC.NS,2007,6,-5.5196000000000005
Consumer Staples,ITC.NS,2007,7,10.5792
Consumer Staples,ITC.NS,2007,8,0.3405000000000002
Consumer Staples,ITC.NS,2007,9,10.9042
Consumer Staples,ITC.NS,2007,10,-5.4514
Consumer Staples,ITC.NS,2007,11,6.109
Consumer Staples,ITC.NS,2007,12,10.9151
Consumer Staples,ITC.NS,2008,1,-5.125299999999999
Consumer Staples,ITC.NS,2008,2,4.4036
Consumer Staples,ITC.NS,2008,3,2.3737999999999997
Consumer Staples,ITC.NS,2008,4,6.779700000000001
Consumer Staples,ITC.NS,2008,5,-0.33819999999999995
Consumer Staples,ITC.NS,2008,6,-14.236
Consumer Staples,ITC.NS,2008,7,0.7092000000000003
Consumer Staples,ITC.NS,2008,8,1.1643999999999997
Consumer Staples,ITC.NS,2008,9,0.09149999999999947
Consumer Staples,ITC.NS,2008,10,-18.0902
Consumer Staples,ITC.NS,2008,11,11.804
Consumer Staples,ITC.NS,2008,12,-0.6473000000000001
Consumer Staples,ITC.NS,2009,1,5.040000000000001
Consumer Staples,ITC.NS,2009,2,1.6837999999999997
Consumer Staples,ITC.NS,2009,3,1.6571000000000011
Consumer Staples,ITC.NS,2009,4,2.4606
Consumer Staples,ITC.NS,2009,5,-1.1149999999999998
Consumer Staples,ITC.NS,2009,6,4.647300000000001
Consumer Staples,ITC.NS,2009,7,27.5107
Consumer Staples,ITC.NS,2009,8,-6.9986000000000015
Consumer Staples,ITC.NS,2009,9,1.0780999999999998
Consumer Staples,ITC.NS,2009,10,9.3554
Consumer Staples,ITC.NS,2009,11,1.2479000000000005
Consumer Staples,ITC.NS,2009,12,-2.3654999999999995
Consumer Staples,ITC.NS,2010,1,-0.11790000000000056
Consumer Staples,ITC.NS,2010,2,-7.0954999999999995
Consumer Staples,ITC.NS,2010,3,12.6571
Consumer Staples,ITC.NS,2010,4,1.166
Consumer Staples,ITC.NS,2010,5,6.670400000000001
Consumer Staples,ITC.NS,2010,6,7.8193
Consumer Staples,ITC.NS,2010,7,1.1535
Consumer Staples,ITC.NS,2010,8,5.7611
Consumer Staples,ITC.NS,2010,9,9.1768
Consumer Staples,ITC.NS,2010,10,-3.8103000000000007
Consumer Staples,ITC.NS,2010,11,0.6168
Consumer Staples,ITC.NS,2010,12,1.6818
Consumer Staples,ITC.NS,2011,1,-6.8925
Consumer Staples,ITC.NS,2011,2,4.5077
Consumer Staples,ITC.NS,2011,3,7.6386
Consumer Staples,ITC.NS,2011,4,5.571200000000001
Consumer Staples,ITC.NS,2011,5,0.7546999999999997
Consumer Staples,ITC.NS,2011,6,5.068
Consumer Staples,ITC.NS,2011,7,2.8164999999999996
Consumer Staples,ITC.NS,2011,8,-3.806
Consumer Staples,ITC.NS,2011,9,-0.7625000000000002
Consumer Staples,ITC.NS,2011,10,7.5627
Consumer Staples,ITC.NS,2011,11,-5.8443
Consumer Staples,ITC.NS,2011,12,0.4396000000000004
Consumer Staples,ITC.NS,2012,1,1.4837999999999996
Consumer Staples,ITC.NS,2012,2,1.8684999999999998
Consumer Staples,ITC.NS,2012,3,9.0622
Consumer Staples,ITC.NS,2012,4,8.0253
Consumer Staples,ITC.NS,2012,5,-6.3617
Consumer Staples,ITC.NS,2012,6,12.4163
Consumer Staples,ITC.NS,2012,7,-0.04789999999999908
Consumer Staples,ITC.NS,2012,8,3.7403999999999997
Consumer Staples,ITC.NS,2012,9,2.0730000000000004
Consumer Staples,ITC.NS,2012,10,3.7677999999999994
Consumer Staples,ITC.NS,2012,11,5.6752
Consumer Staples,ITC.NS,2012,12,-3.8859000000000004
Consumer Staples,ITC.NS,2013,1,7.2172
Consumer Staples,ITC.NS,2013,2,-4.2072
Consumer Staples,ITC.NS,2013,3,4.9427
Consumer Staples,ITC.NS,2013,4,6.324
Consumer Staples,ITC.NS,2013,5,3.7727000000000004
Consumer Staples,ITC.NS,2013,6,-4.5598
Consumer Staples,ITC.NS,2013,7,5.626400000000001
Consumer Staples,ITC.NS,2013,8,-9.695800000000002
Consumer Staples,ITC.NS,2013,9,10.4978
Consumer Staples,ITC.NS,2013,10,-1.3765
Consumer Staples,ITC.NS,2013,11,-4.180400000000001
Consumer Staples,ITC.NS,2013,12,0.5341999999999998
Consumer Staples,ITC.NS,2014,1,1.1082
Consumer Staples,ITC.NS,2014,2,0.9177
Consumer Staples,ITC.NS,2014,3,7.5235
Consumer Staples,ITC.NS,2014,4,-3.3726000000000003
Consumer Staples,ITC.NS,2014,5,0.6154000000000004
Consumer Staples,ITC.NS,2014,6,-4.7157
Consumer Staples,ITC.NS,2014,7,9.1746
Consumer Staples,ITC.NS,2014,8,-0.05119999999999991
Consumer Staples,ITC.NS,2014,9,4.2824
Consumer Staples,ITC.NS,2014,10,-4.027
Consumer Staples,ITC.NS,2014,11,2.5449999999999995
Consumer Staples,ITC.NS,2014,12,1.8211999999999997
Consumer Staples,ITC.NS,2015,1,0.4198999999999995
Consumer Staples,ITC.NS,2015,2,6.781699999999999
Consumer Staples,ITC.NS,2015,3,-17.817899999999998
Consumer Staples,ITC.NS,2015,4,-0.8489999999999993
Consumer Staples,ITC.NS,2015,5,1.7038999999999995
Consumer Staples,ITC.NS,2015,6,-3.4378
Consumer Staples,ITC.NS,2015,7,3.6211999999999995
Consumer Staples,ITC.NS,2015,8,-0.04520000000000024
Consumer Staples,ITC.NS,2015,9,1.2898000000000007
Consumer Staples,ITC.NS,2015,10,2.0622
Consumer Staples,ITC.NS,2015,11,3.5966000000000005
Consumer Staples,ITC.NS,2015,12,-5.070900000000001
Consumer Staples,ITC.NS,2016,1,-2.2169
Consumer Staples,ITC.NS,2016,2,-7.6996
Consumer Staples,ITC.NS,2016,3,11.1311
Consumer Staples,ITC.NS,2016,4,-0.7422
Consumer Staples,ITC.NS,2016,5,8.08
Consumer Staples,ITC.NS,2016,6,5.0527999999999995
Consumer Staples,ITC.NS,2016,7,2.9185
Consumer Staples,ITC.NS,2016,8,3.186
Consumer Staples,ITC.NS,2016,9,-7.306399999999999
Consumer Staples,ITC.NS,2016,10,0.8215000000000001
Consumer Staples,ITC.NS,2016,11,-4.066799999999999
Consumer Staples,ITC.NS,2016,12,4.1476999999999995
Consumer Staples,ITC.NS,2017,1,6.7631
Consumer Staples,ITC.NS,2017,2,1.7797999999999994
Consumer Staples,ITC.NS,2017,3,6.9308
Consumer Staples,ITC.NS,2017,4,-0.6040999999999999
Consumer Staples,ITC.NS,2017,5,11.863999999999999
Consumer Staples,ITC.NS,2017,6,3.9197000000000006
Consumer Staples,ITC.NS,2017,7,-11.358699999999999
Consumer Staples,ITC.NS,2017,8,-0.9624
Consumer Staples,ITC.NS,2017,9,-8.6996
Consumer Staples,ITC.NS,2017,10,2.8998
Consumer Staples,ITC.NS,2017,11,-3.5961
Consumer Staples,ITC.NS,2017,12,2.9017
Consumer Staples,ITC.NS,2018,1,3.2081
Consumer Staples,ITC.NS,2018,2,-2.2741
Consumer Staples,ITC.NS,2018,3,-3.5107999999999997
Consumer Staples,ITC.NS,2018,4,9.7886
Consumer Staples,ITC.NS,2018,5,-3.3585
Consumer Staples,ITC.NS,2018,6,-1.9346999999999999
Consumer Staples,ITC.NS,2018,7,11.5163
Consumer Staples,ITC.NS,2018,8,7.2651
Consumer Staples,ITC.NS,2018,9,-6.918900000000001
Consumer Staples,ITC.NS,2018,10,-5.7898000000000005
Consumer Staples,ITC.NS,2018,11,2.1671
Consumer Staples,ITC.NS,2018,12,-1.336800000000001
Consumer Staples,ITC.NS,2019,1,-0.8722999999999999
Consumer Staples,ITC.NS,2019,2,-0.8547
Consumer Staples,ITC.NS,2019,3,8.429400000000001
Consumer Staples,ITC.NS,2019,4,0.5417000000000001
Consumer Staples,ITC.NS,2019,5,-7.566699999999999
Consumer Staples,ITC.NS,2019,6,-1.6467
Consumer Staples,ITC.NS,2019,7,-1.2292000000000003
Consumer Staples,ITC.NS,2019,8,-9.2473
Consumer Staples,ITC.NS,2019,9,6.0087
Consumer Staples,ITC.NS,2019,10,-0.6618999999999994
Consumer Staples,ITC.NS,2019,11,-4.3491
Consumer Staples,ITC.NS,2019,12,-3.4563
Consumer Staples,ITC.NS,2020,1,-0.9592999999999996
Consumer Staples,ITC.NS,2020,2,-16.4989
Consumer Staples,ITC.NS,2020,3,-10.576400000000003
Consumer Staples,ITC.NS,2020,4,6.464199999999999
Consumer Staples,ITC.NS,2020,5,8.951500000000001
Consumer Staples,ITC.NS,2020,6,-0.8895000000000004
Consumer Staples,ITC.NS,2020,7,0.10309999999999914
Consumer Staples,ITC.NS,2020,8,-1.4445
Consumer Staples,ITC.NS,2020,9,-10.4513
Consumer Staples,ITC.NS,2020,10,-3.6994
Consumer Staples,ITC.NS,2020,11,16.1649
Consumer Staples,ITC.NS,2020,12,7.9499
Consumer Staples,ITC.NS,2021,1,-2.5523
Consumer Staples,ITC.NS,2021,2,0.9223999999999997
Consumer Staples,ITC.NS,2021,3,7.1838999999999995
Consumer Staples,ITC.NS,2021,4,-7.3791
Consumer Staples,ITC.NS,2021,5,6.8454999999999995
Consumer Staples,ITC.NS,2021,6,-6.5409
Consumer Staples,ITC.NS,2021,7,1.1857
Consumer Staples,ITC.NS,2021,8,3.1809000000000003
Consumer Staples,ITC.NS,2021,9,11.4472
Consumer Staples,ITC.NS,2021,10,-4.995300000000001
Consumer Staples,ITC.NS,2021,11,-0.6849000000000002
